Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
06200423|202012|06200423|8.627|19,785|gültig
06300524|202012|06300524|5.670|10,029|gültig
06300525|202012|06300525|5.616|19,54|gültig
06300526|202012|06300526|3.311|9,787|gültig
06300527|202012|06300527|8.385|9,684|gültig
06300528|202012|06300528|11.050|4,571|gültig
06300629|202012|06300629|7.088|8,553|gültig
06300630|202012|06300630|5.612|21,739|gültig
06300631|202012|06300631|3.152|8,992|gültig
06300632|202012|06300632|13.747|4,238|gültig
06300633|202012|06300633|12.046|11,654|gültig
06300634|202012|06300634|8.511|5,281|gültig
06400735|202012|06400735|10.126|3,983|gültig
06400736|202012|06400736|5.234|6,464|gültig
06400737|202012|06400737|11.498|3,978|gültig
06400838|202012|06400838|7.511|1,782|gültig
06400839|202012|06400839|5.278|5,478|gültig
06400840|202012|06400840|7.266|4,167|gültig
06400841|202012|06400841|5.958|7,641|gültig
06400842|202012|06400842|4.810|3,751|gültig
06400843|202012|06400843|4.902|0,912|gültig
06400844|202012|06400844|7.204|4,397|gültig
07100101|202012|07100101|9.808|21,196|gültig
07100102|202012|07100102|8.675|39,359|gültig
07100103|202012|07100103|7.712|45,051|gültig
07100204|202012|07100204|10.468|15,59|gültig
07100205|202012|07100205|5.257|45,161|gültig
07100206|202012|07100206|8.223|24,338|gültig
07200307|202012|07200307|10.578|13,593|gültig
07200308|202012|07200308|10.501|28,759|gültig
07200409|202012|07200409|9.460|12,32|gültig
07200410|202012|07200410|5.565|43,522|gültig
07200411|202012|07200411|2.786|15,806|gültig
07200412|202012|07200412|1.094|33,333|gültig
07200413|202012|07200413|7.886|14,002|gültig
07200414|202012|07200414|3.736|13,701|gültig
07300515|202012|07300515|6.860|7,593|gültig
07300516|202012|07300516|8.839|7,622|gültig
07300517|202012|07300517|8.767|6,912|gültig
07300618|202012|07300618|9.371|10,265|gültig
07300619|202012|07300619|12.302|26,398|gültig
07400720|202012|07400720|12.038|27,848|gültig
07400721|202012|07400721|5.464|14,211|gültig
07400822|202012|07400822|2.255|21,481|gültig
07400823|202012|07400823|9.832|34,388|gültig
07400824|202012|07400824|7.390|22,865|gültig
07400825|202012|07400825|7.360|28,981|gültig
07400826|202012|07400826|5.114|22,203|gültig
07400927|202012|07400927|11.104|36,202|gültig
07400928|202012|07400928|3.980|58,23|gültig
07501029|202012|07501029|8.138|35,91|gültig
07501030|202012|07501030|8.890|35,389|gültig
07501031|202012|07501031|9.101|26,633|gültig
